sl_no,state,pc_name,count_of_elector,poll_percentage,count_of_votes
1,Bihar,Gopalganj,2024673,52.32,1059298
2,Bihar,Maharajganj,1934937,52.27,1011421
3,Bihar,Paschim Champaran,1756078,61.62,1082178
4,Bihar,Purvi Champaran,1790761,59.68,1068642
5,Bihar,Sheohar,1832745,57.40,1052021
6,Bihar,Siwan,1896512,52.49,995416
7,Bihar,Vaishali,1869178,62.59,1170009
8,Bihar,Valmiki Nagar,1827281,60.19,1099781
9,Haryana,AMBALA,1996708,67.34,1344503
10,Haryana,BHIWANI-MAHENDRAGARH,1793029,65.39,1172526
11,Haryana,FARIDABAD,2430212,60.52,1470649
12,Haryana,GURGAON,2573411,62.03,1596240
13,Haryana,HISAR,1790722,65.27,1168784
14,Haryana,KARNAL,2104229,63.74,1341174
15,Haryana,KURUKSHETRA,1794300,67.01,1202401
16,Haryana,ROHTAK,1889844,65.68,1241201
17,Haryana,SIRSA,1937689,69.77,1351932
18,Haryana,SONIPAT,1766624,63.44,1120791
19,Jammu and Kashmir,ANANTNAG-RAJOURI,1836576,55.40,1017451
20,Jharkhand,Dhanbad,2285237,62.06,1418264
21,Jharkhand,Giridih,1864660,67.23,1253553
22,Jharkhand,Jamshedpur,1869278,67.68,1265169
23,Jharkhand,Ranchi,2197331,65.36,1436127
24,NCT OF Delhi,Chandni Chowk,1645958,58.60,964503
25,NCT OF Delhi,East Delhi,2120584,59.51,1261988
26,NCT OF Delhi,New Delhi,1525071,55.43,845285
27,NCT OF Delhi,North-East Delhi,2463159,62.89,1549202
28,NCT OF Delhi,North-West Delhi,2567423,57.85,1485378
29,NCT OF Delhi,South Delhi,2291764,56.45,1293598
30,NCT OF Delhi,West Delhi,2587977,58.79,1521541
31,Odisha,Bhubaneswar,1672774,64.49,1078810
32,Odisha,Cuttack,1571622,71.20,1118918
33,Odisha,Dhenkanal,1529785,78.01,1193460
34,Odisha,Keonjhar,1588179,78.97,1254163
35,Odisha,Puri,1586465,75.43,1196684
36,Odisha,Sambalpur,1499728,79.50,1192226
37,Uttar Pradesh,Allahabad,1825730,51.82,946076
38,Uttar Pradesh,Ambedkar Nagar,1911297,61.58,1176920
39,Uttar Pradesh,Azamgarh,1868165,56.16,1049205
40,Uttar Pradesh,Basti,1902898,56.67,1078313
41,Uttar Pradesh,Bhadohi,2037925,53.07,1081465
42,Uttar Pradesh,Domariyaganj,1961845,51.97,1019548
43,Uttar Pradesh,Jaunpur,1977237,55.59,1099223
44,Uttar Pradesh,Lalganj,1838882,54.38,1000053
45,Uttar Pradesh,Machhlishahr,1940605,54.49,1057361
46,Uttar Pradesh,Phulpur,2067043,48.91,1010909
47,Uttar Pradesh,Pratapgarh,1833312,51.45,943245
48,Uttar Pradesh,Sant Kabir Nagar,2071964,52.57,1089154
49,Uttar Pradesh,Shrawasti,1980381,52.83,1046253
50,Uttar Pradesh,Sultanpur,1852590,55.63,1030583
51,West Bengal,Bankura,1780580,80.75,1437826
52,West Bengal,Bishnupur,1754268,85.91,1507040
53,West Bengal,Ghatal,1939945,82.17,1593990
54,West Bengal,Jhargram,1779794,83.47,1485591
55,West Bengal,Kanthi,1794537,84.77,1521159
56,West Bengal,Medinipur,1811243,81.56,1477309
57,West Bengal,Purulia,1823120,78.39,1429190
58,West Bengal,Tamluk,1850741,84.79,1569233
